Source: http://www.hockey-reference.com/leagues/NHL_2014_games.html
Date,Visitor,G,Home,G,,Notes
2013-11-27,Philadelphia Flyers,2,Tampa Bay Lightning,4,,
2013-11-27,Ottawa Senators,6,Washington Capitals,4,,
2013-11-28,Edmonton Oilers,3,Nashville Predators,0,,
2013-11-28,Vancouver Canucks,5,Ottawa Senators,2,,
2013-11-29,Calgary Flames,2,Anaheim Ducks,5,,
2013-11-29,New York Rangers,2,Boston Bruins,3,,
2013-11-29,Toronto Maple Leafs,2,Buffalo Sabres,3,OT,
2013-11-29,New Jersey Devils,5,Carolina Hurricanes,2,,
2013-11-29,Edmonton Oilers,2,Columbus Blue Jackets,4,,
2013-11-29,Chicago Blackhawks,2,Dallas Stars,1,SO,
2013-11-29,Colorado Avalanche,3,Minnesota Wild,1,,
2013-11-29,Detroit Red Wings,5,New York Islanders,0,,
2013-11-29,Winnipeg Jets,1,Philadelphia Flyers,2,,
2013-11-29,St. Louis Blues,3,San Jose Sharks,6,,
2013-11-29,Pittsburgh Penguins,3,Tampa Bay Lightning,0,,
2013-11-29,Montreal Canadiens,2,Washington Capitals,3,SO,
2013-11-30,Columbus Blue Jackets,1,Boston Bruins,3,,
2013-11-30,Minnesota Wild,2,Colorado Avalanche,3,SO,
2013-11-30,Pittsburgh Penguins,5,Florida Panthers,1,,
2013-11-30,Calgary Flames,2,Los Angeles Kings,1,,
2013-11-30,Toronto Maple Leafs,2,Montreal Canadiens,4,,
2013-11-30,Buffalo Sabres,0,New Jersey Devils,1,OT,
2013-11-30,Philadelphia Flyers,3,Nashville Predators,2,SO,
2013-11-30,Washington Capitals,3,New York Islanders,2,OT,
2013-11-30,Vancouver Canucks,2,New York Rangers,5,,
2013-11-30,Chicago Blackhawks,5,Phoenix Coyotes,2,,
2013-11-30,Anaheim Ducks,3,San Jose Sharks,4,SO,
2013-12-01,Vancouver Canucks,3,Carolina Hurricanes,2,,
2013-12-01,Edmonton Oilers,3,Dallas Stars,2,SO,
2013-12-01,Detroit Red Wings,4,Ottawa Senators,2,,
2013-12-02,St. Louis Blues,2,Los Angeles Kings,3,,
2013-12-02,Philadelphia Flyers,0,Minnesota Wild,2,,
2013-12-02,New Jersey Devils,2,Montreal Canadiens,3,,
2013-12-02,Winnipeg Jets,5,New York Rangers,2,,
2013-12-03,Los Angeles Kings,3,Anaheim Ducks,2,SO,
2013-12-03,Tampa Bay Lightning,0,Columbus Blue Jackets,1,,
2013-12-03,Dallas Stars,4,Chicago Blackhawks,3,,
2013-12-03,Phoenix Coyotes,6,Edmonton Oilers,2,,
2013-12-03,Ottawa Senators,4,Florida Panthers,2,,
2013-12-03,Vancouver Canucks,3,Nashville Predators,1,,
2013-12-03,Pittsburgh Penguins,3,New York Islanders,2,OT,
2013-12-03,San Jose Sharks,4,Toronto Maple Leafs,2,,
2013-12-03,Carolina Hurricanes,4,Washington Capitals,1,,
2013-12-04,Phoenix Coyotes,1,Calgary Flames,4,,
